"","contestant","BTM","LOW","SAFE","HIGH","WIN"
"1","A'Keria C. Davenport",2,0,6,2,2
"2","Acid Betty",1,0,1,3,0
"3","Adore Delano",2,2,1,3,4
"4","Aiden Zhane",1,1,1,2,0
"5","Aja",2,0,5,0,0
"6","Akashia",3,0,0,0,0
"7","Alaska",0,2,3,5,2
"8","Alexis Mateo",4,2,2,2,3
"9","Alexis Michelle",2,2,5,1,1
"10","Alisa Summers",1,0,0,0,0
"11","Alyssa Edwards",3,1,3,1,1
"12","April Carrión",2,0,0,1,0
"13","Aquaria",0,2,5,1,4
"14","Ariel Versace",1,1,3,0,0
"15","Asia O'Hara",1,2,3,3,2
"16","BeBe Zahara Benet",1,0,2,1,3
"17","BenDeLaCreme",2,1,1,4,2
"18","Bianca Del Rio",0,0,3,4,5
"19","Blair St. Clair",1,0,3,2,0
"20","Bob the Drag Queen",1,0,4,0,5
"21","Brita",3,1,1,1,0
"22","Brooke Lynn Hytes",2,1,2,4,3
"23","Carmen Carrera",3,3,3,1,0
"24","Chad Michaels",1,1,4,4,2
"25","Charlie Hides",1,1,2,0,0
"26","Chi Chi DeVayne",3,1,3,1,1
"27","Coco Montrese",4,0,4,1,1
"28","Courtney Act",0,3,5,1,3
"29","Crystal Methyd",1,2,3,4,1
"30","Cynthia Lee Fontaine",3,0,5,0,0
"31","Dahlia Sin",1,1,0,0,0
"32","Darienne Lake",4,3,2,1,1
"33","Dax ExclamationPoint",1,0,1,0,0
"34","Delta Work",3,0,3,1,0
"35","Derrick Barry",2,2,1,2,1
"36","Detox",3,1,5,1,1
"37","Dida Ritz",2,2,5,0,0
"38","Dusty Ray Bottoms",1,1,1,1,0
"39","Eureka O'Hara",2,0,5,6,2
"40","Farrah Moan",2,2,4,0,0
"41","Gia Gunn",1,0,1,2,0
"42","Gigi Goode",0,2,3,1,4
"43","Ginger Minj",2,0,4,3,4
"44","Heidi N Closet",4,1,2,2,1
"45","Honey Davenport",1,0,2,0,0
"46","Honey Mahogany",1,0,3,0,0
"47","India Ferrah",2,0,2,0,0
"48","Ivy Winters",1,2,2,2,1
"49","Jackie Cox",3,1,1,6,0
"50","Jade",1,1,2,0,0
"51","Jade Jolie",1,1,3,1,0
"52","Jaida Essence Hall",1,0,5,2,4
"53","Jaidynn Diore Fierce",3,0,3,2,0
"54","Jan",1,0,3,3,0
"55","Jasmine Masters",1,1,1,0,0
"56","Jaymes Mansfield",1,0,1,0,0
"57","Jessica Wild",1,0,3,2,1
"58","Jiggly Caliente",3,0,4,0,0
"59","Jinkx Monsoon",1,0,1,7,3
"60","Joslyn Fox",2,3,3,1,0
"61","Jujubee",4,1,3,2,0
"62","Kahanna Montrese",2,0,0,0,0
"63","Kalorie Karbdashian Williams",2,0,0,0,0
"64","Kameron Michaels",3,1,4,2,1
"65","Kandy Ho",3,1,2,0,0
"66","Katya",2,0,3,4,2
"67","Kelly Mantle",1,0,0,0,0
"68","Kennedy Davenport",3,0,4,3,2
"69","Kenya Michaels",2,2,0,2,0
"70","Kim Chi",0,1,4,2,3
"71","Kimora Blac",2,0,1,0,0
"72","Laganja Estranja",2,0,4,0,1
"73","Laila McQueen",2,0,0,0,0
"74","Lashauwn Beyond",1,0,0,1,0
"75","Latrice Royale",3,1,3,2,2
"76","Lineysha Sparx",1,1,1,1,1
"77","Madame LaQueer",1,1,1,0,1
"78","Magnolia Crawford",1,0,0,0,0
"79","Manila Luzon",1,1,3,5,3
"80","Mariah",1,2,2,0,0
"81","Max",1,0,4,0,2
"82","Mayhem Miller",2,0,2,0,1
"83","Mercedes Iman Diamond",2,1,1,0,0
"84","Milan",3,0,3,0,0
"85","Milk",1,1,2,1,0
"86","Mimi Imfurst",1,0,1,1,0
"87","Miss Fame",1,4,2,2,0
"88","Miz Cracker",1,2,4,3,1
"89","Monét X Change",3,0,3,4,0
"90","Monica Beverly Hillz",2,0,1,0,0
"91","Monique Heart",1,1,4,1,0
"92","Morgan McMichaels",2,0,2,0,1
"93","Mrs. Kasha Davis",1,0,3,1,0
"94","Mystique Summers Madison",1,1,1,0,0
"95","Naomi Smalls",1,0,3,4,2
"96","Naysha Lopez",2,0,1,0,0
"97","Nicky Doll",2,1,0,1,0
"98","Nicole Paige Brooks",1,0,1,0,0
"99","Nina Bo'nina Brown",3,1,3,2,1
"100","Nina Flowers",0,1,1,4,1
"101","Nina West",1,3,4,1,2
"102","Ongina",1,0,0,2,2
"103","Pandora Boxx",1,1,2,4,0
"104","Pearl",2,1,5,2,3
"105","Penny Tration",1,0,0,0,0
"106","Peppermint",2,1,3,4,1
"107","Phi Phi O'Hara",1,2,3,4,2
"108","Phoenix",1,0,1,0,0
"109","Plastique Tiara",2,0,2,4,1
"110","Ra'Jah O'Hara",4,0,3,0,0
"111","Raja",1,1,3,4,4
"112","Raven",2,0,2,4,2
"113","Rebecca Glasscock",3,1,1,1,1
"114","Robbie Turner",2,2,1,0,1
"115","Rock M. Sakura",1,1,1,0,0
"116","Roxxxy Andrews",1,2,1,6,2
"117","Sahara Davenport",3,0,2,0,1
"118","Sasha Belle",1,1,0,0,0
"119","Sasha Velour",0,1,3,5,3
"120","Scarlet Envy",2,0,3,0,1
"121","Serena Cha Cha",2,0,0,0,0
"122","Shangela",4,1,3,1,2
"123","Shannel",2,1,2,1,0
"124","Sharon Needles",1,1,3,2,5
"125","Shea Couleé",1,0,3,3,4
"126","Sherry Pie",0,1,5,2,2
"127","Shuga Cain",3,1,4,2,0
"128","Silky Nutmeg Ganache",1,2,6,1,2
"129","Soju",1,0,0,0,0
"130","Sonique",1,1,2,0,0
"131","Stacy Layne Matthews",2,0,2,1,1
"132","Tammie Brown",1,0,1,0,0
"133","Tatianna",2,1,4,1,1
"134","Tempest DuJour",1,0,0,0,0
"135","The Princess",2,0,0,1,0
"136","The Vixen",3,1,3,0,1
"137","Thorgy Thor",1,0,3,3,0
"138","Trinity K. Bonet",3,0,2,3,0
"139","Trinity Taylor",1,2,3,2,3
"140","Trixie Mattel",2,0,3,1,0
"141","Tyra Sanchez",0,1,3,2,4
"142","Valentina",1,0,5,2,1
"143","Vanessa Vanjie Mateo",4,2,4,3,0
"144","Venus D-Lite",1,0,0,0,0
"145","Victoria (Porkchop) Parker",1,0,0,0,0
"146","Violet Chachki",0,2,4,2,5
"147","Vivacious",2,0,0,0,0
"148","Vivienne Pinay",1,1,2,0,0
"149","Widow Von'Du",2,0,4,1,1
"150","Willam",1,0,4,1,2
"151","Yara Sofia",2,2,3,4,1
"152","Yuhua Hamasaki",1,0,1,1,0
"153","Yvie Oddly",1,1,6,3,2
